# Entries transcribed whole from the page scans, replacing what the OCR made
# of them.
#
# These are not word-level damage — no substitution table reaches them. In each
# the OCR merged foreign material into the saying: a footnote, a running head,
# a page number, or the neighbouring entry. Several are also cut short where a
# page break fell inside them, so the text had to be assembled from two pages.
#
# Read off the page images at
#   archive.org/details/the-sayings-of-muhammad_202401
# after tools/abbyy_diff.py showed the two OCR passes disagreeing. The page
# given is where the entry starts; it runs 3 ahead of the printed folio.
#
# Where the two passes disagreed the image decided, and it did not always side
# with the cleaner-looking pass: 318 is "her to", not ABBYY's "hereto".
#
# Format: n<TAB>scan page<TAB>topic<TAB>text
20	55	Alms-Giving	The best of alms is that which the right hand giveth, and the left hand knoweth not of.
34	58	Animals And Duties Owed Thereto	Verily God hath one hundred loving kindnesses; one of which He hath sent down amongst man, quadrupeds and every moving thing upon the face of the earth: by it they are kind to each other, and forgive one another; and by it the animals of the wilds are kind to their young; and God hath reserved ninety-nine loving kindnesses, by which He will be gracious to His creatures on the last day.
56	62	Christians And Jews	Muhammad once referred to strife, and said, "It will appear at the time of knowledge leaving the world." Ziad said, "O Messenger of God, how will knowledge go from the world, since we read the Kur'án, and teach it to our children, and our children to theirs; and so on till the last day?" Then Muhammad said, "O Ziád, I supposed you the most learned man of Medinah. Do the Jews and Christians who read the Bible and the Evangel act on them?"
61	63	Compassion	When the child (of Zainab) was brought to Muhammad, dying; its body trembling and moving; the eyes of the Apostle of God shed many tears. And S'ad said, "O Messenger of God! What is this weeping and shedding of tears?" Muhammad replied, "This is an expression of the tenderness and compassion, which the Lord hath put into the hearts of His servants; the Lord doth not have compassion on and commiserate with His servants, except such as are tender and full of feeling."
87	67	Courtesy	No father hath given his child anything better than good manners.
90	68	Courtesy	Being confined for room, the Apostle of God sat down upon his legs drawn up under his thighs. A desert Arab who was present said, "What is this way of sitting?" Muhammad said, "Verily God hath made me a humble servant, and not a proud king."
140	75	The Duty Of Believers	When you speak, speak the truth; perform when you promise; discharge your trust; commit not fornication; be chaste; have no impure desires; withhold your hands from striking, and from taking that which is unlawful or evil. The best of God's servants are those who, when seen, remind of God; and the worst of God's servants are those who carry tales about, to do mischief and separate friends, and seek for the defects of the good.
209	85	God's Forgiveness	Muhammad said, "I would not have the whole wealth of the world in the place of this revelation.": — "Say: (O Muhammad!) O My servants who have oppressed your own souls by sinning, despair not of the mercy of God." A man said, "What of him who hath associated others with God?" Muhammad remained silent for a while and then said, "Know that him also God forgiveth; but on repentance."
216	86	God's Kindness	"Do none enter the Garden of Bliss save by God's mercy?" Muhammad said, "No. None enter save through God's favour." "You also, O Messenger of God! Will you not enter Paradise save by God's compassion?" Muhammad put his hand on his head and said thrice, "I also shall not enter unless God cover me with His mercy."
232	89	Hospitality	Whoever believeth in God and the Hereafter (i.e. a Muslim) must respect his guest: and whoever believeth in God and the Hereafter must not incommode his neighbours; and a Mu'min must speak only good words, otherwise remain silent.
259	94	The Kur'an	"By what rule", said Muhammad, "would you be guided, O Mu'áz, in your administration of Yemen?" "By the law of the Kur'án." "But if you find no direction in the Kur'án?" "Then I will act according to the example of the Messenger of God." "But if that faileth?" "Then I will exercise my own reason and judgment."
270	95	Learning	Verily God doth not take away knowledge from the hands of His servants; but taketh it by taking away the learned; so that when no learned men remain, the ignorant will be placed at the head of affairs. Causes will be submitted to their decision, they will pass sentence without knowledge, will err themselves, and lead others into error.
316	101	Muhammad The Prophet	Verily, my heart is veiled with melancholy and sadness for my followers; and verily I ask pardon of God one hundred times daily.
326	103	Muhammad The Prophet's Prayers	Muhammad used to say, after making the profession of faith, "O Lord, I supplicate Thee for firmness in faith, and inclination towards the straight path, and for Thine aid in being grateful to Thee, and in adoring Thee in every good way; and I supplicate Thee for an innocent heart which shall not incline to wickedness and for a true tongue. I supplicate Thee to guide me to all which Thou knowest to be virtuous and to preserve me from all which Thou knowest to be vicious. I supplicate Thee to forgive me my faults for Thou knowest them all."
353	108	Prayer	He whom prayer preventeth not from wrongdoing and evil, increaseth in naught save in remoteness from the Lord.
381	112	Repentance	A sincere repenter of faults is like him who hath committed none.
390	114	Servants	He will not enter Paradise who behaveth ill to his slaves. The companions said, "O Apostle of God! Have you not told us, that there will be a great many slaves and orphans amongst your disciples?" He said, "Yes; then be kind to them as to your own children, and give them to eat of what you eat yourselves. The slaves that say their prayers are your brothers."
71	66	Contentment	Look to those inferior to yourselves, so that you may not hold God's benefits in contempt.
104	70	Death	Remember often the destroyer and cutter off of delights, which is death.
199	84	Gentleness	Verily you have two qualities which God and His messenger love, — fortitude and gentleness.
228	88	Heaven And Hell	The people entitled to the Abode of Bliss are three; the first, a just king, a doer of good to his people endowed with virtue; the second, an affectionate man, of a tender heart to relations and others; the third, a virtuous man.
244	91	Islam	Every child is born with a disposition towards the natural religion (Islám — submission to the Divine Will). It is the parents who make it a Jew, a Christian or a Magian.
250	92	Kindness	Who is the most favoured of God? He from whom the greatest good cometh to His creatures.
349	107	Poverty	Seek for my satisfaction in that of the poor and needy.
400	117	Truth	He is not of me who, when he speaketh, speaketh falsely; who, when he promiseth, breaketh his promises; and who, when trust is reposed in him, faileth in his trust.
49	61	Charity	When you speak, speak the truth; perform when you promise; discharge your trust; commit not fornication; be chaste; have no impure desires; withhold your hands from striking, and from taking that which is unlawful and bad. The best of God's servants are those who, when seen, remind of God; and the worst of God's servants are those who carry tales about, to do mischief and separate friends, and seek for the defects of the good.
57	63	Christians And Jews	Do not exceed bounds in praising me, as the Christians do in praising Jesus, the son of Mary, by calling Him God, and the Son of God; I am only the Lord's servant; then call me the servant of God, and His messenger.
